t,x,y
57.9,0.00988871,6.38474e+06
58,0.00992506,6.38479e+06
58.1,0.00996149,6.38485e+06
58.2,0.009998,6.3849e+06
58.3,0.0100346,6.38496e+06
58.4,0.0100712,6.38501e+06
58.5,0.010108,6.38507e+06
58.6,0.0101448,6.38512e+06
58.7,0.0101817,6.38518e+06
58.8,0.0102186,6.38523e+06
58.9,0.0102557,6.38529e+06
59,0.0102928,6.38534e+06
59.1,0.01033,6.3854e+06
59.2,0.0103673,6.38546e+06
59.3,0.0104046,6.38551e+06
59.4,0.010442,6.38557e+06
59.5,0.0104795,6.38562e+06
59.6,0.0105171,6.38568e+06
59.7,0.0105548,6.38574e+06
59.8,0.0105925,6.38579e+06
59.9,0.0106303,6.38585e+06
60,0.0106682,6.38591e+06
60.1,0.0107062,6.38597e+06
60.2,0.0107442,6.38602e+06
60.3,0.0107823,6.38608e+06
60.4,0.0108205,6.38614e+06
60.5,0.0108588,6.3862e+06
60.6,0.0108971,6.38625e+06
60.7,0.0109355,6.38631e+06
60.8,0.010974,6.38637e+06
60.9,0.0110126,6.38643e+06
61,0.0110513,6.38649e+06
61.1,0.01109,6.38655e+06
61.2,0.0111288,6.3866e+06
61.3,0.0111677,6.38666e+06
61.4,0.0112067,6.38672e+06
61.5,0.0112457,6.38678e+06
61.6,0.0112849,6.38684e+06
61.7,0.0113241,6.3869e+06
61.8,0.0113633,6.38696e+06
61.9,0.0114027,6.38702e+06
62,0.0114421,6.38708e+06
62.1,0.0114817,6.38714e+06
62.2,0.0115213,6.3872e+06
62.3,0.0115609,6.38726e+06
62.4,0.0116007,6.38732e+06
62.5,0.0116405,6.38738e+06
62.6,0.0116804,6.38744e+06
62.7,0.0117204,6.3875e+06
62.8,0.0117605,6.38756e+06
62.9,0.0118006,6.38762e+06
63,0.0118408,6.38769e+06
63.1,0.0118811,6.38775e+06
63.2,0.0119215,6.38781e+06
63.3,0.011962,6.38787e+06
63.4,0.0120025,6.38793e+06
63.5,0.0120431,6.38799e+06
63.6,0.0120838,6.38806e+06
63.7,0.0121246,6.38812e+06
63.8,0.0121655,6.38818e+06
63.9,0.0122064,6.38824e+06
64,0.0122474,6.38831e+06
64.1,0.0122885,6.38837e+06
64.2,0.0123297,6.38843e+06
64.3,0.0123709,6.3885e+06
64.4,0.0124123,6.38856e+06
64.5,0.0124537,6.38862e+06
64.6,0.0124952,6.38869e+06
64.7,0.0125367,6.38875e+06
64.8,0.0125784,6.38881e+06
64.9,0.0126201,6.38888e+06
65,0.0126619,6.38894e+06
65.1,0.0127038,6.38901e+06
65.2,0.0127458,6.38907e+06
65.3,0.0127879,6.38914e+06
65.4,0.01283,6.3892e+06
65.5,0.0128722,6.38927e+06
